DATE_DT,DATE_CODE,DAY_CODE,DATE_DESC,DAY_DESC,WEEK_CODE,WEEK_DESC,MONTH_CODE,MONTH_DESC,YEAR_CODE,QUARTER_CODE,HALF_CODE
2011-02-18,20110218,18,18 February 2011,Friday   ,201107,7,201102,February ,2011,20111,20111
2011-02-19,20110219,19,19 February 2011,Saturday ,201107,7,201102,February ,2011,20111,20111
2011-02-20,20110220,20,20 February 2011,Sunday   ,201107,7,201102,February ,2011,20111,20111
2011-02-21,20110221,21,21 February 2011,Monday   ,201108,8,201102,February ,2011,20111,20111
2011-02-22,20110222,22,22 February 2011,Tuesday  ,201108,8,201102,February ,2011,20111,20111
2011-02-23,20110223,23,23 February 2011,Wednesday,201108,8,201102,February ,2011,20111,20111
2011-02-24,20110224,24,24 February 2011,Thursday ,201108,8,201102,February ,2011,20111,20111
2011-02-25,20110225,25,25 February 2011,Friday   ,201108,8,201102,February ,2011,20111,20111
2011-02-26,20110226,26,26 February 2011,Saturday ,201108,8,201102,February ,2011,20111,20111
2011-02-27,20110227,27,27 February 2011,Sunday   ,201108,8,201102,February ,2011,20111,20111
2011-02-28,20110228,28,28 February 2011,Monday   ,201109,9,201102,February ,2011,20111,20111
2011-03-01,20110301,1,01 March 2011,Tuesday  ,201109,9,201103,March    ,2011,20111,20111
2011-03-02,20110302,2,02 March 2011,Wednesday,201109,9,201103,March    ,2011,20111,20111
2011-03-03,20110303,3,03 March 2011,Thursday ,201109,9,201103,March    ,2011,20111,20111
2011-03-04,20110304,4,04 March 2011,Friday   ,201109,9,201103,March    ,2011,20111,20111
2011-03-05,20110305,5,05 March 2011,Saturday ,201109,9,201103,March    ,2011,20111,20111
2011-03-06,20110306,6,06 March 2011,Sunday   ,201109,9,201103,March    ,2011,20111,20111
2011-03-07,20110307,7,07 March 2011,Monday   ,201110,10,201103,March    ,2011,20111,20111
2011-03-08,20110308,8,08 March 2011,Tuesday  ,201110,10,201103,March    ,2011,20111,20111
2011-03-09,20110309,9,09 March 2011,Wednesday,201110,10,201103,March    ,2011,20111,20111
2011-03-10,20110310,10,10 March 2011,Thursday ,201110,10,201103,March    ,2011,20111,20111
2011-03-11,20110311,11,11 March 2011,Friday   ,201110,10,201103,March    ,2011,20111,20111
2011-03-12,20110312,12,12 March 2011,Saturday ,201110,10,201103,March    ,2011,20111,20111
2011-03-13,20110313,13,13 March 2011,Sunday   ,201110,10,201103,March    ,2011,20111,20111
2011-03-14,20110314,14,14 March 2011,Monday   ,201111,11,201103,March    ,2011,20111,20111
2011-03-15,20110315,15,15 March 2011,Tuesday  ,201111,11,201103,March    ,2011,20111,20111
2011-03-16,20110316,16,16 March 2011,Wednesday,201111,11,201103,March    ,2011,20111,20111
2011-03-17,20110317,17,17 March 2011,Thursday ,201111,11,201103,March    ,2011,20111,20111
2011-03-18,20110318,18,18 March 2011,Friday   ,201111,11,201103,March    ,2011,20111,20111
2011-03-19,20110319,19,19 March 2011,Saturday ,201111,11,201103,March    ,2011,20111,20111
2011-03-20,20110320,20,20 March 2011,Sunday   ,201111,11,201103,March    ,2011,20111,20111
2011-03-21,20110321,21,21 March 2011,Monday   ,201112,12,201103,March    ,2011,20111,20111
2011-03-22,20110322,22,22 March 2011,Tuesday  ,201112,12,201103,March    ,2011,20111,20111
2011-03-23,20110323,23,23 March 2011,Wednesday,201112,12,201103,March    ,2011,20111,20111
2011-03-24,20110324,24,24 March 2011,Thursday ,201112,12,201103,March    ,2011,20111,20111
2011-03-25,20110325,25,25 March 2011,Friday   ,201112,12,201103,March    ,2011,20111,20111
2011-03-26,20110326,26,26 March 2011,Saturday ,201112,12,201103,March    ,2011,20111,20111
2011-03-27,20110327,27,27 March 2011,Sunday   ,201112,12,201103,March    ,2011,20111,20111
2011-03-28,20110328,28,28 March 2011,Monday   ,201113,13,201103,March    ,2011,20111,20111
2011-03-29,20110329,29,29 March 2011,Tuesday  ,201113,13,201103,March    ,2011,20111,20111
2011-03-30,20110330,30,30 March 2011,Wednesday,201113,13,201103,March    ,2011,20111,20111
2011-03-31,20110331,31,31 March 2011,Thursday ,201113,13,201103,March    ,2011,20111,20111
2011-04-01,20110401,1,01-Apr-11,Friday   ,201113,13,201104,April    ,2011,20112,20111
2011-04-02,20110402,2,02-Apr-11,Saturday ,201113,13,201104,April    ,2011,20112,20111
2011-04-03,20110403,3,03-Apr-11,Sunday   ,201113,13,201104,April    ,2011,20112,20111
2011-04-04,20110404,4,04-Apr-11,Monday   ,201114,14,201104,April    ,2011,20112,20111
2011-04-05,20110405,5,05-Apr-11,Tuesday  ,201114,14,201104,April    ,2011,20112,20111
2011-04-06,20110406,6,06-Apr-11,Wednesday,201114,14,201104,April    ,2011,20112,20111
2011-04-07,20110407,7,07-Apr-11,Thursday ,201114,14,201104,April    ,2011,20112,20111
2011-04-08,20110408,8,08-Apr-11,Friday   ,201114,14,201104,April    ,2011,20112,20111
2011-04-09,20110409,9,09-Apr-11,Saturday ,201114,14,201104,April    ,2011,20112,20111
2011-04-10,20110410,10,10-Apr-11,Sunday   ,201114,14,201104,April    ,2011,20112,20111
2011-04-11,20110411,11,11-Apr-11,Monday   ,201115,15,201104,April    ,2011,20112,20111
2011-04-12,20110412,12,12-Apr-11,Tuesday  ,201115,15,201104,April    ,2011,20112,20111
2011-04-13,20110413,13,13-Apr-11,Wednesday,201115,15,201104,April    ,2011,20112,20111
2011-04-14,20110414,14,14-Apr-11,Thursday ,201115,15,201104,April    ,2011,20112,20111
2011-04-15,20110415,15,15-Apr-11,Friday   ,201115,15,201104,April    ,2011,20112,20111
2011-04-16,20110416,16,16-Apr-11,Saturday ,201115,15,201104,April    ,2011,20112,20111
2011-04-17,20110417,17,17-Apr-11,Sunday   ,201115,15,201104,April    ,2011,20112,20111
2011-04-18,20110418,18,18-Apr-11,Monday   ,201116,16,201104,April    ,2011,20112,20111
2011-04-19,20110419,19,19-Apr-11,Tuesday  ,201116,16,201104,April    ,2011,20112,20111
2011-04-20,20110420,20,20-Apr-11,Wednesday,201116,16,201104,April    ,2011,20112,20111
2011-04-21,20110421,21,21-Apr-11,Thursday ,201116,16,201104,April    ,2011,20112,20111
2011-04-22,20110422,22,22-Apr-11,Friday   ,201116,16,201104,April    ,2011,20112,20111
2011-04-23,20110423,23,23-Apr-11,Saturday ,201116,16,201104,April    ,2011,20112,20111
2011-04-24,20110424,24,24-Apr-11,Sunday   ,201116,16,201104,April    ,2011,20112,20111
2011-04-25,20110425,25,25-Apr-11,Monday   ,201117,17,201104,April    ,2011,20112,20111
2011-04-26,20110426,26,26-Apr-11,Tuesday  ,201117,17,201104,April    ,2011,20112,20111
2011-04-27,20110427,27,27-Apr-11,Wednesday,201117,17,201104,April    ,2011,20112,20111
2011-04-28,20110428,28,28-Apr-11,Thursday ,201117,17,201104,April    ,2011,20112,20111
2011-04-29,20110429,29,29-Apr-11,Friday   ,201117,17,201104,April    ,2011,20112,20111
2011-04-30,20110430,30,30-Apr-11,Saturday ,201117,17,201104,April    ,2011,20112,20111
2011-05-01,20110501,1,01 May 2011,Sunday   ,201117,17,201105,May      ,2011,20112,20111
2011-05-02,20110502,2,02 May 2011,Monday   ,201118,18,201105,May      ,2011,20112,20111
2011-05-03,20110503,3,03 May 2011,Tuesday  ,201118,18,201105,May      ,2011,20112,20111
2011-05-04,20110504,4,04 May 2011,Wednesday,201118,18,201105,May      ,2011,20112,20111
2011-05-05,20110505,5,05 May 2011,Thursday ,201118,18,201105,May      ,2011,20112,20111
2011-05-06,20110506,6,06 May 2011,Friday   ,201118,18,201105,May      ,2011,20112,20111
2011-05-07,20110507,7,07 May 2011,Saturday ,201118,18,201105,May      ,2011,20112,20111
2011-05-08,20110508,8,08 May 2011,Sunday   ,201118,18,201105,May      ,2011,20112,20111
2011-05-09,20110509,9,09 May 2011,Monday   ,201119,19,201105,May      ,2011,20112,20111
2011-05-10,20110510,10,10 May 2011,Tuesday  ,201119,19,201105,May      ,2011,20112,20111
2011-05-11,20110511,11,11 May 2011,Wednesday,201119,19,201105,May      ,2011,20112,20111
2011-05-12,20110512,12,12 May 2011,Thursday ,201119,19,201105,May      ,2011,20112,20111
2011-05-13,20110513,13,13 May 2011,Friday   ,201119,19,201105,May      ,2011,20112,20111
2011-05-14,20110514,14,14 May 2011,Saturday ,201119,19,201105,May      ,2011,20112,20111
2011-05-15,20110515,15,15 May 2011,Sunday   ,201119,19,201105,May      ,2011,20112,20111
2011-05-16,20110516,16,16 May 2011,Monday   ,201120,20,201105,May      ,2011,20112,20111
2011-05-17,20110517,17,17 May 2011,Tuesday  ,201120,20,201105,May      ,2011,20112,20111
2011-05-18,20110518,18,18 May 2011,Wednesday,201120,20,201105,May      ,2011,20112,20111
2011-05-19,20110519,19,19 May 2011,Thursday ,201120,20,201105,May      ,2011,20112,20111
2011-05-20,20110520,20,20 May 2011,Friday   ,201120,20,201105,May      ,2011,20112,20111
2011-05-21,20110521,21,21 May 2011,Saturday ,201120,20,201105,May      ,2011,20112,20111
2011-05-22,20110522,22,22 May 2011,Sunday   ,201120,20,201105,May      ,2011,20112,20111
2011-05-23,20110523,23,23 May 2011,Monday   ,201121,21,201105,May      ,2011,20112,20111
2011-05-24,20110524,24,24 May 2011,Tuesday  ,201121,21,201105,May      ,2011,20112,20111
2011-05-25,20110525,25,25 May 2011,Wednesday,201121,21,201105,May      ,2011,20112,20111
2011-05-26,20110526,26,26 May 2011,Thursday ,201121,21,201105,May      ,2011,20112,20111
2011-05-27,20110527,27,27 May 2011,Friday   ,201121,21,201105,May      ,2011,20112,20111
2011-05-28,20110528,28,28 May 2011,Saturday ,201121,21,201105,May      ,2011,20112,20111
2011-05-29,20110529,29,29 May 2011,Sunday   ,201121,21,201105,May      ,2011,20112,20111
2011-05-30,20110530,30,30 May 2011,Monday   ,201122,22,201105,May      ,2011,20112,20111
2011-05-31,20110531,31,31 May 2011,Tuesday  ,201122,22,201105,May      ,2011,20112,20111
2011-06-01,20110601,1,01 June 2011,Wednesday,201122,22,201106,June     ,2011,20112,20111
2011-06-02,20110602,2,02 June 2011,Thursday ,201122,22,201106,June     ,2011,20112,20111
2011-06-03,20110603,3,03 June 2011,Friday   ,201122,22,201106,June     ,2011,20112,20111
2011-06-04,20110604,4,04 June 2011,Saturday ,201122,22,201106,June     ,2011,20112,20111
2011-06-05,20110605,5,05 June 2011,Sunday   ,201122,22,201106,June     ,2011,20112,20111
2011-06-06,20110606,6,06 June 2011,Monday   ,201123,23,201106,June     ,2011,20112,20111
2011-06-07,20110607,7,07 June 2011,Tuesday  ,201123,23,201106,June     ,2011,20112,20111
2011-06-08,20110608,8,08 June 2011,Wednesday,201123,23,201106,June     ,2011,20112,20111
2011-06-09,20110609,9,09 June 2011,Thursday ,201123,23,201106,June     ,2011,20112,20111
2011-06-10,20110610,10,10 June 2011,Friday   ,201123,23,201106,June     ,2011,20112,20111
2011-06-11,20110611,11,11 June 2011,Saturday ,201123,23,201106,June     ,2011,20112,20111
2011-06-12,20110612,12,12 June 2011,Sunday   ,201123,23,201106,June     ,2011,20112,20111
2011-06-13,20110613,13,13 June 2011,Monday   ,201124,24,201106,June     ,2011,20112,20111
2011-06-14,20110614,14,14 June 2011,Tuesday  ,201124,24,201106,June     ,2011,20112,20111
2011-06-15,20110615,15,15 June 2011,Wednesday,201124,24,201106,June     ,2011,20112,20111
2011-06-16,20110616,16,16 June 2011,Thursday ,201124,24,201106,June     ,2011,20112,20111
2011-06-17,20110617,17,17 June 2011,Friday   ,201124,24,201106,June     ,2011,20112,20111
2011-06-18,20110618,18,18 June 2011,Saturday ,201124,24,201106,June     ,2011,20112,20111
2011-06-19,20110619,19,19 June 2011,Sunday   ,201124,24,201106,June     ,2011,20112,20111
2011-06-20,20110620,20,20 June 2011,Monday   ,201125,25,201106,June     ,2011,20112,20111
2011-06-21,20110621,21,21 June 2011,Tuesday  ,201125,25,201106,June     ,2011,20112,20111
2011-06-22,20110622,22,22 June 2011,Wednesday,201125,25,201106,June     ,2011,20112,20111
2011-06-23,20110623,23,23 June 2011,Thursday ,201125,25,201106,June     ,2011,20112,20111
2011-06-24,20110624,24,24 June 2011,Friday   ,201125,25,201106,June     ,2011,20112,20111
2011-06-25,20110625,25,25 June 2011,Saturday ,201125,25,201106,June     ,2011,20112,20111
2011-06-26,20110626,26,26 June 2011,Sunday   ,201125,25,201106,June     ,2011,20112,20111
2011-06-27,20110627,27,27 June 2011,Monday   ,201126,26,201106,June     ,2011,20112,20111
2011-06-28,20110628,28,28 June 2011,Tuesday  ,201126,26,201106,June     ,2011,20112,20111
2011-06-29,20110629,29,29 June 2011,Wednesday,201126,26,201106,June     ,2011,20112,20111
2011-06-30,20110630,30,30 June 2011,Thursday ,201126,26,201106,June     ,2011,20112,20111
2011-07-01,20110701,1,01 July 2011,Friday   ,201126,26,201107,July     ,2011,20113,20112
2011-07-02,20110702,2,02 July 2011,Saturday ,201126,26,201107,July     ,2011,20113,20112
2011-07-03,20110703,3,03 July 2011,Sunday   ,201126,26,201107,July     ,2011,20113,20112
2011-07-04,20110704,4,04 July 2011,Monday   ,201127,27,201107,July     ,2011,20113,20112
2011-07-05,20110705,5,05 July 2011,Tuesday  ,201127,27,201107,July     ,2011,20113,20112
2011-07-06,20110706,6,06 July 2011,Wednesday,201127,27,201107,July     ,2011,20113,20112
2011-07-07,20110707,7,07 July 2011,Thursday ,201127,27,201107,July     ,2011,20113,20112
2011-07-08,20110708,8,08 July 2011,Friday   ,201127,27,201107,July     ,2011,20113,20112
2011-07-09,20110709,9,09 July 2011,Saturday ,201127,27,201107,July     ,2011,20113,20112
2011-07-10,20110710,10,10 July 2011,Sunday   ,201127,27,201107,July     ,2011,20113,20112
2011-07-11,20110711,11,11 July 2011,Monday   ,201128,28,201107,July     ,2011,20113,20112
2011-07-12,20110712,12,12 July 2011,Tuesday  ,201128,28,201107,July     ,2011,20113,20112
2011-07-13,20110713,13,13 July 2011,Wednesday,201128,28,201107,July     ,2011,20113,20112
2011-07-14,20110714,14,14 July 2011,Thursday ,201128,28,201107,July     ,2011,20113,20112
2011-07-15,20110715,15,15 July 2011,Friday   ,201128,28,201107,July     ,2011,20113,20112
2011-07-16,20110716,16,16 July 2011,Saturday ,201128,28,201107,July     ,2011,20113,20112
2011-07-17,20110717,17,17 July 2011,Sunday   ,201128,28,201107,July     ,2011,20113,20112
2011-07-18,20110718,18,18 July 2011,Monday   ,201129,29,201107,July     ,2011,20113,20112
2011-07-19,20110719,19,19 July 2011,Tuesday  ,201129,29,201107,July     ,2011,20113,20112
2011-07-20,20110720,20,20 July 2011,Wednesday,201129,29,201107,July     ,2011,20113,20112
2011-07-21,20110721,21,21 July 2011,Thursday ,201129,29,201107,July     ,2011,20113,20112
2011-07-22,20110722,22,22 July 2011,Friday   ,201129,29,201107,July     ,2011,20113,20112
2011-07-23,20110723,23,23 July 2011,Saturday ,201129,29,201107,July     ,2011,20113,20112
2011-07-24,20110724,24,24 July 2011,Sunday   ,201129,29,201107,July     ,2011,20113,20112
2011-07-25,20110725,25,25 July 2011,Monday   ,201130,30,201107,July     ,2011,20113,20112
2011-07-26,20110726,26,26 July 2011,Tuesday  ,201130,30,201107,July     ,2011,20113,20112
2011-07-27,20110727,27,27 July 2011,Wednesday,201130,30,201107,July     ,2011,20113,20112
2011-07-28,20110728,28,28 July 2011,Thursday ,201130,30,201107,July     ,2011,20113,20112
2011-07-29,20110729,29,29 July 2011,Friday   ,201130,30,201107,July     ,2011,20113,20112
2011-07-30,20110730,30,30 July 2011,Saturday ,201130,30,201107,July     ,2011,20113,20112
2011-07-31,20110731,31,31 July 2011,Sunday   ,201130,30,201107,July     ,2011,20113,20112
2011-08-29,20110829,29,29 August 2011,Monday   ,201135,35,201108,August   ,2011,20113,20112
2011-08-30,20110830,30,30 August 2011,Tuesday  ,201135,35,201108,August   ,2011,20113,20112
2011-08-31,20110831,31,31 August 2011,Wednesday,201135,35,201108,August   ,2011,20113,20112
2011-08-01,20110801,1,01 August 2011,Monday   ,201131,31,201108,August   ,2011,20113,20112
2011-08-02,20110802,2,02 August 2011,Tuesday  ,201131,31,201108,August   ,2011,20113,20112
2011-08-03,20110803,3,03 August 2011,Wednesday,201131,31,201108,August   ,2011,20113,20112
2011-08-04,20110804,4,04 August 2011,Thursday ,201131,31,201108,August   ,2011,20113,20112
2011-08-05,20110805,5,05 August 2011,Friday   ,201131,31,201108,August   ,2011,20113,20112
2011-08-06,20110806,6,06 August 2011,Saturday ,201131,31,201108,August   ,2011,20113,20112
2011-08-07,20110807,7,07 August 2011,Sunday   ,201131,31,201108,August   ,2011,20113,20112
2011-08-08,20110808,8,08 August 2011,Monday   ,201132,32,201108,August   ,2011,20113,20112
2011-08-09,20110809,9,09 August 2011,Tuesday  ,201132,32,201108,August   ,2011,20113,20112
2011-08-10,20110810,10,10 August 2011,Wednesday,201132,32,201108,August   ,2011,20113,20112
2011-08-11,20110811,11,11 August 2011,Thursday ,201132,32,201108,August   ,2011,20113,20112
2011-08-12,20110812,12,12 August 2011,Friday   ,201132,32,201108,August   ,2011,20113,20112
2011-08-13,20110813,13,13 August 2011,Saturday ,201132,32,201108,August   ,2011,20113,20112
2011-08-14,20110814,14,14 August 2011,Sunday   ,201132,32,201108,August   ,2011,20113,20112
2011-08-15,20110815,15,15 August 2011,Monday   ,201133,33,201108,August   ,2011,20113,20112
2011-08-16,20110816,16,16 August 2011,Tuesday  ,201133,33,201108,August   ,2011,20113,20112
2011-08-17,20110817,17,17 August 2011,Wednesday,201133,33,201108,August   ,2011,20113,20112
2011-08-18,20110818,18,18 August 2011,Thursday ,201133,33,201108,August   ,2011,20113,20112
2011-08-19,20110819,19,19 August 2011,Friday   ,201133,33,201108,August   ,2011,20113,20112
2011-08-20,20110820,20,20 August 2011,Saturday ,201133,33,201108,August   ,2011,20113,20112
2011-08-21,20110821,21,21 August 2011,Sunday   ,201133,33,201108,August   ,2011,20113,20112
2011-08-22,20110822,22,22 August 2011,Monday   ,201134,34,201108,August   ,2011,20113,20112
2011-08-23,20110823,23,23 August 2011,Tuesday  ,201134,34,201108,August   ,2011,20113,20112
2011-08-24,20110824,24,24 August 2011,Wednesday,201134,34,201108,August   ,2011,20113,20112
2011-08-25,20110825,25,25 August 2011,Thursday ,201134,34,201108,August   ,2011,20113,20112
2011-08-26,20110826,26,26 August 2011,Friday   ,201134,34,201108,August   ,2011,20113,20112
2011-08-27,20110827,27,27 August 2011,Saturday ,201134,34,201108,August   ,2011,20113,20112
2011-08-28,20110828,28,28 August 2011,Sunday   ,201134,34,201108,August   ,2011,20113,20112
2011-09-01,20110901,1,01 September 2011,Thursday ,201135,35,201109,September,2011,20113,20112
2011-09-02,20110902,2,02 September 2011,Friday   ,201135,35,201109,September,2011,20113,20112
2011-09-03,20110903,3,03 September 2011,Saturday ,201135,35,201109,September,2011,20113,20112
2011-09-04,20110904,4,04 September 2011,Sunday   ,201135,35,201109,September,2011,20113,20112
2011-09-05,20110905,5,05 September 2011,Monday   ,201136,36,201109,September,2011,20113,20112
2011-09-06,20110906,6,06 September 2011,Tuesday  ,201136,36,201109,September,2011,20113,20112
2011-09-07,20110907,7,07 September 2011,Wednesday,201136,36,201109,September,2011,20113,20112
2011-09-08,20110908,8,08 September 2011,Thursday ,201136,36,201109,September,2011,20113,20112
2011-09-09,20110909,9,09 September 2011,Friday   ,201136,36,201109,September,2011,20113,20112
2011-09-10,20110910,10,10 September 2011,Saturday ,201136,36,201109,September,2011,20113,20112
2011-09-11,20110911,11,11 September 2011,Sunday   ,201136,36,201109,September,2011,20113,20112
2011-09-12,20110912,12,12 September 2011,Monday   ,201137,37,201109,September,2011,20113,20112
2011-09-13,20110913,13,13 September 2011,Tuesday  ,201137,37,201109,September,2011,20113,20112
2011-09-14,20110914,14,14 September 2011,Wednesday,201137,37,201109,September,2011,20113,20112
2011-09-15,20110915,15,15 September 2011,Thursday ,201137,37,201109,September,2011,20113,20112
2011-09-16,20110916,16,16 September 2011,Friday   ,201137,37,201109,September,2011,20113,20112
2011-09-17,20110917,17,17 September 2011,Saturday ,201137,37,201109,September,2011,20113,20112
2011-09-18,20110918,18,18 September 2011,Sunday   ,201137,37,201109,September,2011,20113,20112
2011-09-19,20110919,19,19 September 2011,Monday   ,201138,38,201109,September,2011,20113,20112
2011-09-20,20110920,20,20 September 2011,Tuesday  ,201138,38,201109,September,2011,20113,20112
2011-09-21,20110921,21,21 September 2011,Wednesday,201138,38,201109,September,2011,20113,20112
2011-09-22,20110922,22,22 September 2011,Thursday ,201138,38,201109,September,2011,20113,20112
2011-09-23,20110923,23,23 September 2011,Friday   ,201138,38,201109,September,2011,20113,20112
2011-09-24,20110924,24,24 September 2011,Saturday ,201138,38,201109,September,2011,20113,20112
2011-09-25,20110925,25,25 September 2011,Sunday   ,201138,38,201109,September,2011,20113,20112
2011-09-26,20110926,26,26 September 2011,Monday   ,201139,39,201109,September,2011,20113,20112
2011-09-27,20110927,27,27 September 2011,Tuesday  ,201139,39,201109,September,2011,20113,20112
2011-09-28,20110928,28,28 September 2011,Wednesday,201139,39,201109,September,2011,20113,20112
2011-09-29,20110929,29,29 September 2011,Thursday ,201139,39,201109,September,2011,20113,20112
2011-09-30,20110930,30,30 September 2011,Friday   ,201139,39,201109,September,2011,20113,20112
2011-10-01,20111001,1,01 October 2011,Saturday ,201139,39,201110,October  ,2011,20114,20112
2011-10-02,20111002,2,02 October 2011,Sunday   ,201139,39,201110,October  ,2011,20114,20112
2011-10-03,20111003,3,03 October 2011,Monday   ,201140,40,201110,October  ,2011,20114,20112
2011-10-04,20111004,4,04 October 2011,Tuesday  ,201140,40,201110,October  ,2011,20114,20112
2011-10-05,20111005,5,05 October 2011,Wednesday,201140,40,201110,October  ,2011,20114,20112
2011-10-06,20111006,6,06 October 2011,Thursday ,201140,40,201110,October  ,2011,20114,20112
2011-10-07,20111007,7,07 October 2011,Friday   ,201140,40,201110,October  ,2011,20114,20112
2011-10-08,20111008,8,08 October 2011,Saturday ,201140,40,201110,October  ,2011,20114,20112
2011-10-09,20111009,9,09 October 2011,Sunday   ,201140,40,201110,October  ,2011,20114,20112
2011-10-10,20111010,10,10 October 2011,Monday   ,201141,41,201110,October  ,2011,20114,20112
2011-10-11,20111011,11,11 October 2011,Tuesday  ,201141,41,201110,October  ,2011,20114,20112
2011-10-12,20111012,12,12 October 2011,Wednesday,201141,41,201110,October  ,2011,20114,20112
2011-10-13,20111013,13,13 October 2011,Thursday ,201141,41,201110,October  ,2011,20114,20112
2011-10-14,20111014,14,14 October 2011,Friday   ,201141,41,201110,October  ,2011,20114,20112
2011-10-15,20111015,15,15 October 2011,Saturday ,201141,41,201110,October  ,2011,20114,20112
2011-10-16,20111016,16,16 October 2011,Sunday   ,201141,41,201110,October  ,2011,20114,20112
2011-10-17,20111017,17,17 October 2011,Monday   ,201142,42,201110,October  ,2011,20114,20112
2011-10-18,20111018,18,18 October 2011,Tuesday  ,201142,42,201110,October  ,2011,20114,20112
2011-10-19,20111019,19,19 October 2011,Wednesday,201142,42,201110,October  ,2011,20114,20112
