RETURNED_FLAG,ORDER_COD,PRODUCT_COD
true,IT-2013-3468927,OFF-AP-10001847
true,ES-2012-5959969,OFF-AP-10001905
true,MX-2014-102246,OFF-AP-10002017
true,IN-2014-43571,OFF-AP-10002057
true,CA-2012-111948,OFF-AP-10002311
true,ID-2014-71403,OFF-AP-10002317
true,US-2014-103828,OFF-AP-10002321
true,CA-2013-114307,OFF-AP-10002350
true,CA-2014-117926,OFF-AP-10002670
true,IN-2012-19995,OFF-AP-10002697
true,CA-2011-160766,OFF-AP-10002945
true,MX-2012-104423,OFF-AP-10002963
true,CA-2014-162012,OFF-AP-10003040
true,ES-2013-2645491,OFF-AP-10003184
true,IN-2014-57683,OFF-AP-10003354
true,CA-2013-145492,OFF-AP-10003622
true,ES-2014-4505254,OFF-AR-10000019
true,ES-2014-5513140,OFF-AR-10000027
true,IN-2011-50361,OFF-AR-10000054
true,MX-2014-130694,OFF-AR-10000066
true,MX-2011-146479,OFF-AR-10000067
true,IN-2014-60476,OFF-AR-10000079
true,ES-2012-2223096,OFF-AR-10000097
true,ES-2013-3988133,OFF-AR-10000120
true,ES-2013-1727818,OFF-AR-10000125
true,ES-2012-4193401,OFF-AR-10000150
true,ES-2013-2406661,OFF-AR-10000150
true,ES-2014-5368780,OFF-AR-10000179
true,ES-2014-5247585,OFF-AR-10000179
true,ES-2012-3679676,OFF-AR-10000185
true,US-2014-109253,OFF-AR-10000203
true,CA-2014-129707,OFF-AR-10000246
true,ES-2013-3007238,OFF-AR-10000266
true,MX-2014-142874,OFF-AR-10000266
true,IN-2012-39336,OFF-AR-10000266
true,MX-2011-157539,OFF-AR-10000307
true,ES-2011-3864297,OFF-AR-10000314
true,ES-2012-2280466,OFF-AR-10000347
true,ES-2014-4147581,OFF-AR-10000347
true,ES-2014-1620754,OFF-AR-10000347
true,ES-2013-5106699,OFF-AR-10000401
true,US-2011-119935,OFF-AR-10000401
true,ES-2014-5835827,OFF-AR-10000409
true,ES-2013-3323529,OFF-AR-10000465
true,ID-2012-21563,OFF-AR-10000467
true,ES-2012-5944655,OFF-AR-10000491
true,ES-2013-1874583,OFF-AR-10000603
true,CA-2012-103716,OFF-AR-10000658
true,US-2013-122917,OFF-AR-10000703
true,ES-2011-4694484,OFF-AR-10000720
true,MX-2014-135706,OFF-AR-10000727
true,ES-2012-1845274,OFF-AR-10000729
true,ES-2014-2731678,OFF-AR-10000729
true,IT-2013-1498487,OFF-AR-10000812
true,IN-2013-49318,OFF-AR-10000851
true,CA-2013-136483,OFF-AR-10000940
true,MX-2011-131478,OFF-AR-10000974
true,ES-2013-1795340,OFF-AR-10000974
true,ES-2013-4116050,OFF-AR-10001030
true,CA-2012-168480,OFF-AR-10001044
true,ES-2012-5897153,OFF-AR-10001053
true,ES-2012-3075381,OFF-AR-10001053
true,ES-2012-2270219,OFF-AR-10001053
true,MX-2011-162488,OFF-AR-10001134
true,CA-2013-104689,OFF-AR-10001149
true,IT-2012-3986604,OFF-AR-10001190
true,CA-2014-112725,OFF-AR-10001227
true,CA-2012-150770,OFF-AR-10001246
true,ES-2011-1868803,OFF-AR-10001266
true,ES-2014-1012006,OFF-AR-10001269
true,ES-2012-4840257,OFF-AR-10001336
true,ES-2013-1713812,OFF-AR-10001482
true,IN-2014-39371,OFF-AR-10001607
true,CA-2012-132374,OFF-AR-10001615
true,ES-2011-3366039,OFF-AR-10001645
true,ES-2014-3277356,OFF-AR-10001672
true,MX-2011-128356,OFF-AR-10001694
true,IN-2013-55639,OFF-AR-10001720
true,ID-2011-55142,OFF-AR-10001759
true,MX-2014-149881,OFF-AR-10001898
true,ES-2014-1197792,OFF-AR-10001898
true,CA-2014-138163,OFF-AR-10001958
true,CA-2014-136539,OFF-AR-10001958
true,IT-2011-4913414,OFF-AR-10002109
true,US-2013-131149,OFF-AR-10002135
true,MX-2012-142090,OFF-AR-10002340
true,IN-2014-75855,OFF-AR-10002340
true,US-2014-151127,OFF-AR-10002445
true,ES-2012-3327222,OFF-AR-10002710
true,CA-2014-156391,OFF-AR-10002766
true,US-2013-140172,OFF-AR-10002766
true,CA-2012-134201,OFF-AR-10002804
true,CA-2011-123253,OFF-AR-10002804
true,MX-2014-145429,OFF-AR-10003110
true,IN-2014-38006,OFF-AR-10003336
true,MX-2014-111899,OFF-AR-10003448
true,CA-2011-116785,OFF-AR-10003504
true,CA-2011-126522,OFF-AR-10004042
true,ES-2013-2491395,OFF-BI-10000006
true,MX-2011-114685,OFF-BI-10000029
true,ID-2014-68505,OFF-BI-10000029
true,IN-2014-62338,OFF-BI-10000042
true,IN-2012-75134,OFF-BI-10000042
true,US-2012-169712,OFF-BI-10000081
true,ES-2013-2048769,OFF-BI-10000168
true,ES-2014-1006059,OFF-BI-10000168
true,ES-2013-3159008,OFF-BI-10000171
true,IN-2013-19400,OFF-BI-10000171
true,ES-2014-4626156,OFF-BI-10000185
true,IN-2011-33183,OFF-BI-10000206
true,IN-2014-51985,OFF-BI-10000206
true,ES-2011-2835499,OFF-BI-10000312
true,IT-2011-2536577,OFF-BI-10000359
true,ES-2013-2091965,OFF-BI-10000389
true,IT-2014-5470294,OFF-BI-10000389
true,ID-2011-23068,OFF-BI-10000389
true,ID-2011-75652,OFF-BI-10000490
true,MX-2011-132815,OFF-BI-10000501
true,MX-2013-137610,OFF-BI-10000518
true,CA-2012-116092,OFF-BI-10000546
true,IN-2013-47911,OFF-BI-10000583
true,MX-2014-160857,OFF-BI-10000590
true,CA-2011-123498,OFF-BI-10000632
true,CA-2014-137085,OFF-BI-10000632
true,MX-2014-125332,OFF-BI-10000725
true,US-2014-167500,OFF-BI-10000769
true,ES-2012-2680511,OFF-BI-10000813
true,MX-2013-141159,OFF-BI-10000814
true,US-2013-105578,OFF-BI-10000831
true,IN-2012-41261,OFF-BI-10000844
true,MX-2011-127670,OFF-BI-10000844
true,US-2012-110569,OFF-BI-10001036
true,CA-2013-112123,OFF-BI-10001071
true,ES-2013-2639112,OFF-BI-10001279
true,MX-2013-117856,OFF-BI-10001384
true,CA-2013-111682,OFF-BI-10001460
true,CA-2014-134194,OFF-BI-10001597
true,CA-2012-119907,OFF-BI-10001765
true,CA-2012-146255,OFF-BI-10001765
true,ID-2011-72096,OFF-BI-10001808
true,ES-2011-3654318,OFF-BI-10001808
true,MX-2011-120719,OFF-BI-10001843
true,MX-2011-108077,OFF-BI-10001843
true,CA-2014-101805,OFF-BI-10002003
true,CA-2012-140984,OFF-BI-10002012
true,CA-2014-145772,OFF-BI-10002049
true,CA-2014-150609,OFF-BI-10002071
true,CA-2014-156958,OFF-BI-10002071
true,CA-2012-143602,OFF-BI-10002071
true,US-2014-147998,OFF-BI-10002082
true,CA-2014-118122,OFF-BI-10002103
true,CA-2014-115427,OFF-BI-10002103
true,US-2012-113754,OFF-BI-10002190
true,CA-2012-107678,OFF-BI-10002215
true,ES-2014-2979530,OFF-BI-10002225
true,CA-2012-149636,OFF-BI-10002764
true,CA-2014-165008,OFF-BI-10002794
true,CA-2013-159023,OFF-BI-10002813
true,IN-2014-51607,OFF-BI-10003124
true,CA-2013-133802,OFF-BI-10003291
true,CA-2011-110786,OFF-BI-10003305
true,CA-2011-153150,OFF-BI-10003355
true,CA-2014-140585,OFF-BI-10003364
true,CA-2014-140186,OFF-BI-10003364
true,IN-2012-83380,OFF-BI-10003503
true,IN-2012-70073,OFF-BI-10003503
true,CA-2014-136651,OFF-BI-10003638
true,CA-2011-151162,OFF-BI-10003719
true,CA-2011-108861,OFF-BI-10003876
true,CA-2013-168921,OFF-BI-10004209
true,CA-2014-169894,OFF-BI-10004230
true,CA-2011-109918,OFF-BI-10004308
true,US-2013-115952,OFF-BI-10004654
true,US-2013-152051,OFF-BI-10004781
true,CA-2013-142398,OFF-BI-10004826
true,CA-2014-159954,OFF-BI-10004876
true,CA-2014-108294,OFF-BI-10004965
true,CA-2013-114727,OFF-BI-10004967
true,CA-2013-124527,OFF-BI-10004967
true,ID-2013-64060,OFF-EN-10000075
true,MX-2013-125696,OFF-EN-10000219
true,IN-2011-62331,OFF-EN-10000219
true,ID-2014-86033,OFF-EN-10000251
true,IN-2013-18175,OFF-EN-10000251
true,ES-2012-3631542,OFF-EN-10000274
true,MX-2012-156720,OFF-EN-10000353
true,MX-2012-150910,OFF-EN-10000378
true,CA-2014-169859,OFF-EN-10000461
true,US-2014-159485,OFF-EN-10000507
true,US-2013-167850,OFF-EN-10000615
true,IN-2012-44810,OFF-EN-10000648
true,ES-2014-1526550,OFF-EN-10000826
true,ES-2012-1439531,OFF-EN-10000897
true,ES-2013-3285003,OFF-EN-10000947
true,CA-2014-166093,OFF-EN-10001028
true,CA-2014-101700,OFF-EN-10001028
true,IN-2014-68337,OFF-EN-10001044
true,ES-2013-1525878,OFF-EN-10001162
true,IT-2014-4273010,OFF-EN-10001202
true,ES-2014-4079805,OFF-EN-10001202
true,IN-2014-17160,OFF-EN-10001202
true,ES-2013-3570218,OFF-EN-10001311
true,MX-2012-115945,OFF-EN-10001443
true,IN-2012-63934,OFF-EN-10001533
true,ES-2014-3424970,OFF-EN-10001538
true,ES-2012-4485887,OFF-EN-10001616
true,MX-2013-123386,OFF-EN-10001958
true,ES-2011-3108517,OFF-EN-10002066
true,MX-2011-133627,OFF-EN-10002096
true,IN-2014-30173,OFF-EN-10002096
true,CA-2013-159212,OFF-EN-10002230
true,ES-2012-2431083,OFF-EN-10002410
true,US-2013-152667,OFF-EN-10002410
true,IN-2014-35346,OFF-EN-10002434
true,MX-2012-101021,OFF-EN-10002896
true,CA-2014-143084,OFF-EN-10003072
true,ES-2014-4359397,OFF-EN-10003111
true,IN-2013-48184,OFF-EN-10003632
true,MX-2011-126592,OFF-FA-10000027
true,ID-2011-49031,OFF-FA-10000059
true,ID-2013-74357,OFF-FA-10000091
true,US-2014-169852,OFF-FA-10000091
true,ES-2014-2557751,OFF-FA-10000146
true,ES-2014-4616921,OFF-FA-10000146
true,ES-2013-3877962,OFF-FA-10000154
true,ES-2014-1398657,OFF-FA-10000189
true,MX-2012-142664,OFF-FA-10000191
true,MX-2013-101210,OFF-FA-10000191
true,IN-2014-68008,OFF-FA-10000194
true,MX-2013-121545,OFF-FA-10000194
true,IN-2014-25637,OFF-FA-10000227
true,IN-2012-28493,OFF-FA-10000227
true,ES-2012-4007496,OFF-FA-10000263
true,IN-2011-63808,OFF-FA-10000300
true,MX-2013-147634,OFF-FA-10000349
true,ID-2013-36312,OFF-FA-10000439
true,ES-2013-5881573,OFF-FA-10000439
true,ES-2013-1072619,OFF-FA-10000455
true,IN-2011-58341,OFF-FA-10000455
true,IN-2012-32882,OFF-FA-10000467
true,ES-2014-2228032,OFF-FA-10000467
true,MX-2012-159674,OFF-FA-10000475
true,ES-2014-2524646,OFF-FA-10000487
true,MX-2013-163797,OFF-FA-10000487
true,IN-2014-16929,OFF-FA-10000581
true,US-2012-155831,OFF-FA-10000581
true,IN-2014-46007,OFF-FA-10000700
true,CA-2014-131807,OFF-FA-10000735
true,MX-2012-133732,OFF-FA-10000799
true,CA-2011-142769,OFF-FA-10000840
true,ES-2012-5238758,OFF-FA-10000907
true,ID-2011-22011,OFF-FA-10001029
true,MX-2014-121377,OFF-FA-10001082
true,IT-2013-2280110,OFF-FA-10001563
true,IN-2013-64578,OFF-FA-10001698
true,ES-2012-3246286,OFF-FA-10001698
true,ID-2014-45580,OFF-FA-10001698
true,IT-2011-4648014,OFF-FA-10002268
true,CA-2013-151323,OFF-FA-10002983
true,CA-2013-105291,OFF-FA-10003059
true,CA-2011-148950,OFF-FA-10003059
true,CA-2011-127012,OFF-FA-10004854
true,MX-2013-128440,OFF-LA-10000039
true,ES-2012-2376426,OFF-LA-10000073
true,IN-2014-23481,OFF-LA-10000157
true,IT-2013-3132916,OFF-LA-10000321
true,MX-2014-148285,OFF-LA-10000341
true,IN-2012-16845,OFF-LA-10000356
true,MX-2013-103492,OFF-LA-10000404
true,CA-2013-145261,OFF-LA-10000407
true,ES-2014-4401602,OFF-LA-10000436
true,CA-2012-112144,OFF-LA-10000443
true,IN-2013-41198,OFF-LA-10000536
true,IN-2012-52657,OFF-LA-10000590
true,ID-2013-34051,OFF-LA-10000765
true,IN-2012-45972,OFF-LA-10000989
true,CA-2014-135692,OFF-LA-10001158
true,ES-2014-5891109,OFF-LA-10001541
true,CA-2014-131492,OFF-LA-10001641
true,ES-2012-4717022,OFF-LA-10001701
true,MX-2014-143595,OFF-LA-10002020
true,CA-2014-154949,OFF-LA-10002034
true,US-2013-148957,OFF-LA-10002195
true,ES-2013-5685466,OFF-LA-10002364
true,IT-2012-5711400,OFF-LA-10002650
true,CA-2011-103744,OFF-LA-10004425
true,CA-2014-144064,OFF-LA-10004544
true,IN-2013-33204,OFF-PA-10000032
true,MX-2014-165694,OFF-PA-10000081
true,ES-2012-3697227,OFF-PA-10000091
true,MX-2011-155572,OFF-PA-10000098
true,CA-2012-144267,OFF-PA-10000157
true,US-2011-164406,OFF-PA-10000167
true,US-2014-123484,OFF-PA-10000194
true,US-2014-147886,OFF-PA-10000232
true,CA-2013-165330,OFF-PA-10000241
true,US-2013-119046,OFF-PA-10000246
true,CA-2013-109806,OFF-PA-10000304
true,CA-2014-142328,OFF-PA-10000380
true,CA-2011-141726,OFF-PA-10000418
true,CA-2012-142601,OFF-PA-10000483
true,CA-2011-123225,OFF-PA-10000552
true,CA-2011-164721,OFF-PA-10000575
true,CA-2014-113670,OFF-PA-10000675
true,CA-2013-145982,OFF-PA-10000675
true,ES-2014-1651774,OFF-PA-10000752
true,ES-2014-5822421,OFF-PA-10000776
true,MX-2014-103478,OFF-PA-10000776
true,CA-2013-159345,OFF-PA-10000806
true,CA-2011-126361,OFF-PA-10000806
true,IN-2014-62275,OFF-PA-10000878
true,MX-2011-156755,OFF-PA-10001275
true,US-2012-137008,OFF-PA-10001295
true,MX-2012-122553,OFF-PA-10001327
true,MX-2014-130309,OFF-PA-10001620
true,ES-2014-5621218,OFF-PA-10001620
true,MX-2012-125808,OFF-PA-10001686
true,ES-2014-1627638,OFF-PA-10001722
true,IN-2011-30894,OFF-PA-10001733
true,ID-2013-48709,OFF-PA-10001736
true,CA-2013-133319,OFF-PA-10001815
true,CA-2014-147452,OFF-PA-10001838
true,CA-2013-128671,OFF-PA-10001870
true,CA-2013-112340,OFF-PA-10001892
true,CA-2014-131618,OFF-PA-10001892
true,CA-2013-152814,OFF-PA-10001970
true,MX-2012-126606,OFF-PA-10001971
true,US-2013-156986,OFF-PA-10002005
true,MX-2014-168536,OFF-PA-10002022
true,CA-2014-112753,OFF-PA-10002036
true,CA-2014-168193,OFF-PA-10002254
true,CA-2014-166898,OFF-PA-10002262
true,US-2013-108455,OFF-PA-10002262
true,IN-2013-69128,OFF-PA-10002514
true,MX-2013-143301,OFF-PA-10002514
true,MX-2014-103919,OFF-PA-10002539
true,CA-2012-119214,OFF-PA-10002893
true,CA-2011-148614,OFF-PA-10002893
true,CA-2013-123526,OFF-PA-10002986
true,CA-2012-153220,OFF-PA-10003016
true,CA-2011-104829,OFF-PA-10003016
true,US-2011-164763,OFF-PA-10003063
true,CA-2013-145919,OFF-PA-10003072
true,CA-2014-157196,OFF-PA-10003172
true,US-2012-160857,OFF-PA-10003363
true,CA-2013-105585,OFF-PA-10003625
true,CA-2014-121853,OFF-PA-10003641
true,CA-2014-111556,OFF-PA-10003651
true,CA-2014-108931,OFF-PA-10003845
true,IT-2013-3395178,OFF-PA-10003899
true,CA-2012-169397,OFF-PA-10004000
true,US-2011-143287,OFF-PA-10004039
true,CA-2011-100762,OFF-PA-10004082
true,CA-2012-109736,OFF-PA-10004101
true,ES-2014-1703772,OFF-PA-10004185
true,ID-2013-74875,OFF-PA-10004185
true,CA-2013-151372,OFF-PA-10004381
true,ES-2012-4079399,OFF-PA-10004411
true,CA-2011-135699,OFF-PA-10004475
true,CA-2014-142342,OFF-PA-10004609
true,CA-2014-142867,OFF-PA-10004610
true,CA-2011-126403,OFF-PA-10004665
true,CA-2013-134775,OFF-PA-10004734
true,CA-2014-118542,OFF-PA-10004735
true,CA-2014-128965,OFF-PA-10004911
true,ES-2013-5911126,OFF-ST-10000035
true,IN-2011-85284,OFF-ST-10000210
true,CA-2014-153822,OFF-ST-10000321
true,ES-2013-2335535,OFF-ST-10000378
true,ES-2011-1137137,OFF-ST-10000430
true,CA-2014-152660,OFF-ST-10000532
true,IN-2014-18441,OFF-ST-10000557
true,CA-2013-139269,OFF-ST-10000689
true,CA-2014-107825,OFF-ST-10000777
true,IN-2012-33918,OFF-ST-10000794
true,CA-2012-135580,OFF-ST-10000798
true,ES-2013-4375143,OFF-ST-10000836
true,US-2013-114230,OFF-ST-10000876
true,ES-2013-2603153,OFF-ST-10001066
true,MX-2012-161704,OFF-ST-10001326
true,IN-2012-26757,OFF-ST-10001326
true,IT-2013-4354136,OFF-ST-10001478
true,MX-2014-105641,OFF-ST-10001478
true,US-2013-111528,OFF-ST-10001526
true,US-2013-151379,OFF-ST-10001576
true,IN-2014-66573,OFF-ST-10001752
true,US-2013-135720,OFF-ST-10001963
true,CA-2011-127131,OFF-ST-10002344
true,CA-2014-154074,OFF-ST-10002370
true,ES-2013-4429605,OFF-ST-10002399
true,CA-2012-162166,OFF-ST-10002486
true,CA-2013-130477,OFF-ST-10002583
true,CA-2013-161746,OFF-ST-10002743
true,CA-2011-152345,OFF-ST-10003123
true,ID-2014-17475,OFF-ST-10003295
true,CA-2014-103380,OFF-ST-10003442
true,CA-2011-103940,OFF-ST-10004963
true,CA-2012-151547,OFF-SU-10000898
true,CA-2014-167395,OFF-SU-10000946
true,CA-2013-145583,OFF-SU-10001218
